parameter_name,Tibia
parameter_id,IMPC_XRY_025_001
gene_accession_id,MGI:1923959
mouse_strain,129SV
gene_symbol,Arpc2
pvalue,0.320617
mouse_life_stage,Early adult
analysis_id,857k880og3bkog7
