parameter_name,Tibia
gene_accession_id,MGI:1914672
parameter_id,IMPC_XRY_025_001
analysis_id,6842iyamjqlw1w2
pvalue,0.846738
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Dhdds
