gene_symbol,Cdk18
parameter_name,Total food intake
gene_accession_id,MGI:97518
pvalue,0.8079715
analysis_id,6m461o7u3jdo4xb
parameter_id,IMPC_CAL_008_001
mouse_life_stage,Early adult
mouse_strain,C56BL
