gene_symbol,Ints7
parameter_id,ESLIM_008_001_001
gene_accession_id,MGI:1924315
parameter_name,Body position
mouse_strain,C57BL
analysis_id,uep43sz855684s4
pvalue,0.315051
mouse_life_stage,E9.5
