gene_symbol,Casq1
analysis_id,32p74t0s616274t
mouse_strain,C57BL
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
parameter_name,Vocalization
pvalue,0.3564242
gene_accession_id,MGI:1309468
