analysis_id,5cm98i4131j8r1y
pvalue,0.7784959
parameter_id,JAXLA_OFD_020_001
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
