gene_symbol,Ppm1j
pvalue,0.1122229
analysis_id,6393n0s7n735v66
mouse_strain,C57BL
gene_accession_id,MGI:1919137
parameter_name,Latency to first transition into dark
parameter_id,IMPC_LDT_006_001
mouse_life_stage,Early adult
