analysis_id,75g9ij3o7wz352v
mouse_life_stage,Early adult
parameter_name,HRV
parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
gene_symbol,Exd1
pvalue,0.9716587
gene_accession_id,MGI:3045306
