gene_symbol,Opn3
mouse_strain,C57BL
gene_accession_id,MGI:1338022
parameter_id,JAX_LDT_002_001
parameter_name,Light side time spent
pvalue,0.9063987
analysis_id,jgq7q6lr6perkjg
mouse_life_stage,Early adult
