analysis_id,ky6k1j93ph99uj7
gene_symbol,Bpifa3
pvalue,0.7858174
parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1920638
parameter_name,Center resting time
