gene_symbol,Psd4
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
analysis_id,43682b3nt16554m
pvalue,0.08304848
mouse_life_stage,Early adult
parameter_id,HRWLLA_CSD_008_001
gene_accession_id,MGI:2674093
