gene_symbol,Exd1
pvalue,0.4529505
analysis_id,p0fxlv8326e49vf
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Limb morphology
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:3045306
