analysis_id,6qyh0wb8w3556ja
mouse_strain,C57BL
gene_symbol,Slc30a4
parameter_name,Monocytes
gene_accession_id,MGI:1345282
pvalue,0.539874
mouse_life_stage,Late adult
parameter_id,IMPC_IMM_051_001
