analysis_id,l46y59yn0gv17m3
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
pvalue,0.7702852
mouse_strain,C57BL
parameter_id,MGP_IMM_101_001
mouse_life_stage,E9.5
parameter_name,KLRG1+ NK cells - % of CD45+
