analysis_id,3u7v1lnx2p829d8
gene_symbol,Ubxn11
parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914836
pvalue,0.5506877
