gene_symbol,Gfi1b
parameter_id,MGP_IMM_006_001
analysis_id,785377pr074arr6
gene_accession_id,MGI:1276578
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4895501
