analysis_id,493ithah2g642ui
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_name,Whole arena resting time
parameter_id,JAXLA_OFD_007_001
pvalue,4.130771e-13
mouse_life_stage,Late adult
