analysis_id,e7tl5b4y035jo75
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
pvalue,0.7363231
mouse_strain,C57BL
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_symbol,Snap23
