mouse_strain,B6J
parameter_name,Alkaline phosphatase
gene_symbol,Nr0b2
parameter_id,HRWLLA_CBC_014_001
pvalue,0.3560812
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
analysis_id,d0t33aj68fho09n
