gene_symbol,Zcchc2
mouse_strain,C57BL
pvalue,0.7046934
parameter_name,Neutrophils
analysis_id,5t8u27x09wqb9o6
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_id,IMPC_IMM_050_001
