parameter_name,Dark side time spent
analysis_id,895035n90077nzi
pvalue,0.6379552
mouse_life_stage,Early adult
gene_symbol,Inpp1
mouse_strain,129SV
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:104848
