parameter_name,Periphery permanence time
pvalue,0.8349696
gene_accession_id,MGI:2685277
parameter_id,IMPC_OFD_012_001
gene_symbol,Zyg11b
mouse_strain,C57BL
analysis_id,728sua15061tl4t
mouse_life_stage,Early adult
