parameter_name,Anophthalmia
mouse_life_stage,Early adult
pvalue,0.1593585
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
analysis_id,kc741c41134o29v
