analysis_id,o573r218534neh6
pvalue,0.4252257
gene_symbol,Slc17a9
parameter_name,Total food intake
mouse_strain,C57BL
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
parameter_id,IMPC_CAL_008_001
