parameter_id,M-G-P_014_001_010
pvalue,0.8647621
mouse_life_stage,Early adult
gene_symbol,Clvs1
parameter_name,lens opacity
analysis_id,7cp4tu541155w57
mouse_strain,C57BL
gene_accession_id,MGI:1921688
