analysis_id,4l783xlfxq466jy
parameter_name,UIBC (unsaturated iron binding capacity)
parameter_id,IMPC_CBC_024_001
pvalue,0.5770257
gene_symbol,Etfdh
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
mouse_strain,C57BL
