analysis_id,b672et9au1vw65b
gene_symbol,Psd4
pvalue,0.8799389
mouse_strain,C57BL
gene_accession_id,MGI:2674093
parameter_name,Prepulse inhibition - PP3
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_703
