analysis_id,mu44x2j6qr425c1
gene_symbol,Tiprl
parameter_name,Center permanence time
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
pvalue,0.8053135
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
