analysis_id,gwp9e160m6pkvn1
pvalue,0.06609345
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Early adult
parameter_name,Iron
mouse_strain,C57BL
gene_accession_id,MGI:99605
gene_symbol,Cntfr
