analysis_id,61iq4m8o836g035
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_006
pvalue,0.1102141
parameter_name,110dB startle magnitude
gene_symbol,Rab3gap2
mouse_strain,C57BL
