analysis_id,tib2d2n346090v1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
pvalue,0.2639794
parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
