gene_symbol,Cldn19
analysis_id,4032428j75mb10v
gene_accession_id,MGI:3033992
pvalue,0.1949987
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_011_001_704
parameter_name,Prepulse inhibition - PP4
