parameter_name,HDL-cholesterol
parameter_id,IMPC_CBC_016_001
pvalue,0.7808968
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
analysis_id,5c86tk8kl5p3z06
gene_symbol,Lpgat1
