parameter_id,IMPC_FEA_106_001
gene_symbol,Trp53i11
mouse_strain,C57BL
pvalue,0.1658635
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
analysis_id,12to3kuw3v35vs3
