parameter_name,Retina (combined)
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ddx27
pvalue,0.9773675
parameter_id,IMPC_EYE_092_001
analysis_id,jswm8ni92u7c30x
gene_accession_id,MGI:2385884
