parameter_name,End-Systolic Diameter
mouse_strain,C57BL
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Middle aged adult
analysis_id,gfi5b4hl5uqw3yo
pvalue,0.9698715
