analysis_id,ln15k4f735s2825
parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
gene_symbol,Usp37
gene_accession_id,MGI:2442483
mouse_strain,C57BL
pvalue,0.9860132
