gene_symbol,Cisd2
parameter_id,IMPC_CSD_030_001
analysis_id,25kd2m8mkw517n7
mouse_strain,C57BL
pvalue,0.7667378
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_name,Tremor
