parameter_name,Percent time in dark
pvalue,0.781787
analysis_id,1zf3s00hp16cc70
gene_accession_id,MGI:1888742
mouse_strain,C57BL
gene_symbol,Extl1
mouse_life_stage,Early adult
parameter_id,JAX_LDT_008_001
