analysis_id,2j2654sq87lu5cb
mouse_life_stage,Early adult
pvalue,0.2739691
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:3046938
gene_symbol,Hrnr
mouse_strain,C57BL
