gene_symbol,Dnajc5b
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
analysis_id,3d87s5bj777zpu0
pvalue,0.8000608
