analysis_id,fgilhbm417oo347
gene_symbol,Bpifa3
mouse_life_stage,Early adult
pvalue,0.7585267
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
gene_accession_id,MGI:1920638
mouse_strain,129SV
