analysis_id,5dvy9z91hrw4jn3
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
pvalue,0.3417891
mouse_life_stage,Early adult
parameter_id,MGP_MLN_074_001
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
