analysis_id,680c18gv982sp26
parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
pvalue,0.8870594
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
mouse_strain,C57BL
