parameter_id,IMPC_CAL_008_001
gene_symbol,Mov10
pvalue,0.4002864
parameter_name,Total food intake
analysis_id,49e085td96y03fl
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
mouse_strain,C57BL
