analysis_id,oi3n6hgzs5riyzh
mouse_strain,129SV
parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
mouse_life_stage,Early adult
pvalue,0.3680371
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
