gene_symbol,Bmp7
parameter_id,IMPC_CSD_029_001
analysis_id,7d978m5m2fizl7y
gene_accession_id,MGI:103302
parameter_name,Activity (body position)
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5650222
