gene_symbol,Jun
mouse_life_stage,E9.5
analysis_id,2868p63v76gp7b6
pvalue,0.3785917
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
gene_accession_id,MGI:96646
mouse_strain,C57BL
