analysis_id,60864962dp0twin
mouse_life_stage,Early adult
parameter_name,Total cholesterol
pvalue,0.9340595
gene_symbol,Zmynd19
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1914437
