parameter_name,Anophthalmia
mouse_strain,C57BL
gene_accession_id,MGI:2441730
analysis_id,642a13hgyw6sx97
parameter_id,IMPC_GEO_048_002
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
pvalue,0.2488624
