parameter_name,B1B Cells
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_IMM_064_001
pvalue,0.3874878
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
analysis_id,d0g2le0b79py18k
