analysis_id,66gmj5j41775995
mouse_strain,C57BL
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
parameter_name,Mean cell volume
pvalue,0.8414553
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
