parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
analysis_id,11xl806x09to0c6
gene_accession_id,MGI:1913396
pvalue,0.6953191
parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
gene_symbol,Maco1
