gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
parameter_id,ESLIM_011_001_704
analysis_id,8q7c6d5cinmi3k0
pvalue,0.1595582
mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP4
mouse_strain,C57BL
