pvalue,0
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_MLN_009_001
mouse_strain,C57BL
gene_symbol,Bach2
gene_accession_id,MGI:894679
analysis_id,48848sjc1t56jw7
