mouse_strain,B6J
analysis_id,6gn646469478172
pvalue,0.2701993
parameter_id,MGP_CSD_008_001
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
mouse_life_stage,Early adult
parameter_name,Startle response
