parameter_id,JAXLA_OFD_017_001
parameter_name,Center average speed
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ncaph
analysis_id,abl1522wzw68r0r
pvalue,0.8614917
