gene_symbol,Galnt13
gene_accession_id,MGI:2139447
mouse_life_stage,Late adult
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
analysis_id,2m001915n782bgc
mouse_strain,C57BL
pvalue,0.5498401
