analysis_id,b355hjy489a7zr3
mouse_life_stage,E9.5
pvalue,0.8178705
parameter_name,Urea (Blood Urea Nitrogen - BUN)
parameter_id,IMPC_CBC_004_001
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
