gene_symbol,Abitram
analysis_id,24c88jot76n981t
gene_accession_id,MGI:2677850
mouse_strain,C50BL
parameter_name,Fasted blood glucose concentration
pvalue,0.3645375
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_010_001
