gene_symbol,Psd4
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
mouse_strain,C57BL
pvalue,0.2413034
parameter_id,IMPC_CSD_029_001
analysis_id,a6t48222s0e7ww4
parameter_name,Activity (body position)
