parameter_name,BMC/Body weight
analysis_id,r459t8h46c1m3t1
parameter_id,JAXLA_DXA_007_001
pvalue,0.4497727
mouse_strain,C57BL
gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
