parameter_name,Activity (body position)
mouse_strain,C57BL
parameter_id,IMPC_CSD_029_001
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
analysis_id,83gb13bf8pu1y62
pvalue,0.8319031
