parameter_name,Vibrissae - presence
mouse_strain,C57BL
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
analysis_id,04lx75ny00099ab
parameter_id,JAXLA_CSD_023_001
pvalue,0.8889125
mouse_life_stage,Early adult
